year_month,article_count
201507,1
201510,1
201512,6
201601,1
201603,1
201604,1
201605,12
201606,2
201607,10
201609,3
201610,6
201611,9
201612,15
201702,16
201703,7
201704,25
201705,9
201706,1
201707,2
201708,20
201709,3
201710,4
201711,5
201712,26
201801,14
201802,2
201803,5
201804,1
201805,142
201806,3
201807,7
201808,7
201809,4
201810,7
201811,1
201901,10
201902,2
201903,3
201904,6
201905,8
201906,3
201907,5
201908,24
201909,1
201910,20
201911,6
201912,13
202001,4
202002,15
202003,9
202004,8
202005,8
202006,2
202007,1
202008,4
202009,8
202010,1
202011,2
202012,6
202101,9
202102,4
202103,7
202104,12
202105,5
202106,51
202107,8
202108,14
202109,11
202110,1
202111,2
202112,9
202201,19
202202,11
202203,6
202204,6
202205,11
202206,21
202207,2
202208,8
202209,11
202210,23
202211,60
202212,9
202301,4
202302,2
202303,4
202304,10
202305,7
202306,14
202307,14
202308,11
202309,2
202310,6
202311,1
202312,1
202402,1
202403,6
202404,1
202405,5
202406,2
202407,2
202408,4
202409,3
202410,18
202411,5
202412,12
202501,6
202502,6
202503,8
202504,17
202505,14
202506,19
202507,7
202508,3
202509,1
202510,11
202511,7
202512,15
202601,16
202602,23
202603,14
202604,3
